"Jan 1, year",AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,"DC
"
1900,"1,830,000",n/a,"124,000","1,314,000","1,490,000","543,000","910,000","185,000","530,000","2,220,000",n/a,"163,000","4,828,000","2,518,000","2,231,000","1,473,000","2,148,000","1,384,000","695,000","1,189,000","2,788,000","2,423,000","1,754,000","1,553,000","3,108,000","245,000","1,067,000","43,000","412,000","1,884,000","196,000","7,283,000","1,897,000","321,000","4,161,000","800,000","415,000","6,313,000","430,000","1,342,000","403,000","2,023,000","3,055,000","277,000","344,000","1,858,000","523,000","959,000","2,072,000","93,000","278,000
"
1901,"1,907,000",n/a,"131,000","1,341,000","1,550,000","581,000","931,000","187,000","544,000","2,263,000",n/a,"176,000","4,914,000","2,541,000","2,227,000","1,490,000","2,162,000","1,412,000","699,000","1,200,000","2,794,000","2,450,000","1,805,000","1,578,000","3,128,000","261,000","1,078,000","45,000","412,000","1,889,000","206,000","7,449,000","1,926,000","346,000","4,216,000","916,000","434,000","6,439,000","441,000","1,361,000","418,000","2,041,000","3,132,000","284,000","347,000","1,887,000","583,000","972,000","2,109,000","100,000","285,000
"
1902,"1,935,000",n/a,"138,000","1,360,000","1,623,000","621,000","952,000","188,000","565,000","2,305,000",n/a,"199,000","4,992,000","2,567,000","2,222,000","1,505,000","2,177,000","1,440,000","703,000","1,210,000","2,856,000","2,477,000","1,862,000","1,603,000","3,147,000","270,000","1,089,000","49,000","409,000","1,917,000","218,000","7,612,000","1,956,000","371,000","4,322,000","1,027,000","454,000","6,567,000","450,000","1,379,000","431,000","2,060,000","3,210,000","292,000","349,000","1,894,000","651,000","1,000,000","2,141,000","105,000","290,000
"
1903,"1,957,000",n/a,"144,000","1,384,000","1,702,000","652,000","972,000","190,000","587,000","2,346,000",n/a,"216,000","5,071,000","2,594,000","2,217,000","1,498,000","2,191,000","1,467,000","709,000","1,209,000","2,924,000","2,505,000","1,901,000","1,628,000","3,166,000","282,000","1,104,000","52,000","394,000","1,969,000","229,000","7,771,000","1,986,000","396,000","4,386,000","1,118,000","479,000","6,699,000","460,000","1,397,000","437,000","2,082,000","3,291,000","299,000","350,000","1,890,000","719,000","1,037,000","2,171,000","108,000","295,000
"
1904,"1,978,000",n/a,"151,000","1,419,000","1,792,000","659,000","987,000","192,000","599,000","2,387,000",n/a,"229,000","5,161,000","2,614,000","2,212,000","1,527,000","2,205,000","1,495,000","719,000","1,217,000","2,969,000","2,534,000","1,945,000","1,653,000","3,185,000","293,000","1,119,000","56,000","407,000","2,050,000","242,000","7,927,000","2,017,000","421,000","4,458,000","1,200,000","504,000","6,833,000","471,000","1,415,000","452,000","2,086,000","3,374,000","308,000","353,000","1,889,000","782,000","1,064,000","2,202,000","111,000","302,000
"
1905,"2,012,000",n/a,"158,000","1,447,000","1,893,000","680,000","1,010,000","194,000","615,000","2,427,000",n/a,"246,000","5,241,000","2,635,000","2,211,000","1,555,000","2,220,000","1,523,000","723,000","1,237,000","3,018,000","2,579,000","1,981,000","1,678,000","3,204,000","305,000","1,129,000","59,000","423,000","2,151,000","255,000","8,084,000","2,051,000","446,000","4,530,000","1,277,000","530,000","6,970,000","481,000","1,433,000","461,000","2,111,000","3,459,000","316,000","354,000","1,917,000","842,000","1,094,000","2,231,000","114,000","308,000
"
1906,"2,045,000",n/a,"167,000","1,465,000","1,976,000","707,000","1,033,000","196,000","628,000","2,466,000",n/a,"262,000","5,309,000","2,663,000","2,214,000","1,576,000","2,234,000","1,551,000","729,000","1,251,000","3,107,000","2,626,000","1,987,000","1,703,000","3,223,000","322,000","1,138,000","64,000","415,000","2,239,000","269,000","8,289,000","2,077,000","474,000","4,587,000","1,349,000","555,000","7,110,000","492,000","1,451,000","477,000","2,136,000","3,546,000","327,000","355,000","1,942,000","904,000","1,122,000","2,250,000","118,000","313,000
"
1907,"2,058,000",n/a,"176,000","1,484,000","2,054,000","733,000","1,057,000","197,000","645,000","2,505,000",n/a,"277,000","5,384,000","2,679,000","2,217,000","1,612,000","2,249,000","1,579,000","731,000","1,257,000","3,183,000","2,693,000","1,995,000","1,728,000","3,242,000","332,000","1,149,000","68,000","423,000","2,314,000","283,000","8,499,000","2,105,000","501,000","4,630,000","1,414,000","580,000","7,253,000","505,000","1,468,000","498,000","2,136,000","3,636,000","339,000","355,000","1,952,000","967,000","1,149,000","2,268,000","125,000","317,000
"
1908,"2,070,000",n/a,"186,000","1,513,000","2,161,000","757,000","1,077,000","199,000","684,000","2,543,000",n/a,"291,000","5,474,000","2,677,000","2,220,000","1,629,000","2,263,000","1,607,000","735,000","1,269,000","3,251,000","2,722,000","2,020,000","1,753,000","3,260,000","346,000","1,161,000","73,000","428,000","2,403,000","298,000","8,714,000","2,142,000","528,000","4,677,000","1,498,000","610,000","7,398,000","519,000","1,485,000","527,000","2,164,000","3,727,000","351,000","354,000","1,994,000","1,028,000","1,174,000","2,292,000","133,000","321,000
"
1909,"2,108,000",n/a,"196,000","1,545,000","2,282,000","775,000","1,097,000","201,000","724,000","2,580,000",n/a,"311,000","5,567,000","2,678,000","2,223,000","1,658,000","2,278,000","1,634,000","740,000","1,289,000","3,316,000","2,771,000","2,051,000","1,777,000","3,279,000","363,000","1,177,000","78,000","431,000","2,487,000","314,000","8,935,000","2,174,000","555,000","4,701,000","1,585,000","643,000","7,546,000","532,000","1,502,000","553,000","2,177,000","3,821,000","363,000","356,000","2,038,000","1,091,000","1,203,000","2,317,000","141,000","327,000
"
1910,"2,150,000",n/a,"206,000","1,583,000","2,406,000","804,000","1,122,000","203,000","756,000","2,618,000",n/a,"329,000","5,668,000","2,713,000","2,228,000","1,692,000","2,299,000","1,667,000","745,000","1,302,000","3,365,000","2,832,000","2,086,000","1,802,000","3,301,000","380,000","1,198,000","82,000","431,000","2,550,000","329,000","9,137,000","2,221,000","580,000","4,786,000","1,671,000","677,000","7,706,000","545,000","1,523,000","590,000","2,191,000","3,922,000","377,000","357,000","2,071,000","1,148,000","1,231,000","2,345,000","147,000","334,000
"
1911,"2,185,000",n/a,"212,000","1,610,000","2,534,000","821,000","1,149,000","207,000","773,000","2,644,000",n/a,"343,000","5,757,000","2,751,000","2,249,000","1,684,000","2,324,000","1,695,000","751,000","1,324,000","3,383,000","2,916,000","2,119,000","1,810,000","3,317,000","397,000","1,216,000","81,000","432,000","2,610,000","334,000","9,249,000","2,276,000","584,000","4,821,000","1,714,000","692,000","7,850,000","556,000","1,548,000","602,000","2,197,000","4,016,000","387,000","358,000","2,092,000","1,167,000","1,266,000","2,369,000","150,000","344,000
"
1912,"2,217,000",n/a,"217,000","1,636,000","2,668,000","832,000","1,176,000","209,000","801,000","2,676,000",n/a,"359,000","5,828,000","2,785,000","2,279,000","1,671,000","2,347,000","1,709,000","753,000","1,345,000","3,440,000","2,997,000","2,147,000","1,817,000","3,344,000","414,000","1,232,000","81,000","434,000","2,670,000","338,000","9,361,000","2,313,000","603,000","4,893,000","1,737,000","706,000","7,986,000","567,000","1,572,000","592,000","2,218,000","4,107,000","399,000","359,000","2,122,000","1,184,000","1,291,000","2,407,000","153,000","340,000
"
1913,"2,279,000",n/a,"236,000","1,664,000","2,811,000","835,000","1,208,000","213,000","828,000","2,733,000",n/a,"371,000","5,961,000","2,824,000","2,305,000","1,663,000","2,374,000","1,727,000","763,000","1,368,000","3,534,000","3,101,000","2,190,000","1,827,000","3,409,000","433,000","1,246,000","82,000","439,000","2,729,000","344,000","9,473,000","2,362,000","609,000","4,997,000","1,777,000","722,000","8,139,000","578,000","1,599,000","584,000","2,257,000","4,207,000","410,000","361,000","2,176,000","1,209,000","1,317,000","2,438,000","157,000","358,000
"
1914,"2,336,000",n/a,"253,000","1,688,000","2,934,000","846,000","1,233,000","216,000","871,000","2,776,000",n/a,"384,000","6,109,000","2,857,000","2,338,000","1,662,000","2,395,000","1,740,000","772,000","1,389,000","3,636,000","3,183,000","2,234,000","1,832,000","3,467,000","452,000","1,264,000","83,000","442,000","2,789,000","348,000","9,585,000","2,421,000","620,000","5,109,000","1,824,000","736,000","8,276,000","589,000","1,622,000","581,000","2,289,000","4,300,000","422,000","362,000","2,241,000","1,231,000","1,362,000","2,490,000","163,000","368,000
"
1915,"2,345,000",n/a,"263,000","1,702,000","3,008,000","868,000","1,258,000","217,000","922,000","2,810,000",n/a,"394,000","6,194,000","2,873,000","2,366,000","1,687,000","2,401,000","1,755,000","774,000","1,401,000","3,705,000","3,263,000","2,273,000","1,826,000","3,492,000","469,000","1,272,000","82,000","443,000","2,850,000","351,000","9,700,000","2,473,000","641,000","5,251,000","1,860,000","745,000","8,362,000","597,000","1,635,000","585,000","2,294,000","4,368,000","430,000","360,000","2,294,000","1,239,000","1,387,000","2,535,000","167,000","361,000
"
1916,"2,359,000",n/a,"282,000","1,719,000","3,071,000","892,000","1,294,000","219,000","924,000","2,856,000",n/a,"405,000","6,274,000","2,897,000","2,376,000","1,727,000","2,411,000","1,799,000","775,000","1,415,000","3,726,000","3,353,000","2,308,000","1,823,000","3,527,000","487,000","1,275,000","82,000","445,000","2,918,000","354,000","9,848,000","2,513,000","652,000","5,366,000","1,907,000","756,000","8,463,000","598,000","1,650,000","595,000","2,304,000","4,444,000","436,000","360,000","2,316,000","1,255,000","1,414,000","2,562,000","174,000","360,000
"
1917,"2,361,000",n/a,"311,000","1,737,000","3,171,000","910,000","1,327,000","222,000","895,000","2,885,000",n/a,"413,000","6,313,000","2,910,000","2,382,000","1,748,000","2,421,000","1,795,000","777,000","1,428,000","3,738,000","3,451,000","2,329,000","1,820,000","3,470,000","505,000","1,285,000","81,000","447,000","2,976,000","361,000","9,993,000","2,546,000","661,000","5,510,000","1,960,000","763,000","8,578,000","606,000","1,675,000","599,000","2,331,000","4,563,000","444,000","372,000","2,313,000","1,287,000","1,439,000","2,587,000","186,000","385,000
"
1918,"2,343,000",n/a,"320,000","1,749,000","3,262,000","906,000","1,329,000","220,000","865,000","2,941,000",n/a,"405,000","6,275,000","2,880,000","2,351,000","1,729,000","2,425,000","1,746,000","760,000","1,467,000","3,695,000","3,499,000","2,291,000","1,813,000","3,325,000","501,000","1,266,000","77,000","440,000","3,043,000","382,000","9,936,000","2,522,000","636,000","5,547,000","1,969,000","763,000","8,524,000","604,000","1,746,000","570,000","2,288,000","4,666,000","437,000","352,000","2,359,000","1,341,000","1,438,000","2,597,000","181,000","418,000
"
1919,"2,337,000",n/a,"329,000","1,742,000","3,339,000","938,000","1,359,000","221,000","898,000","2,870,000",n/a,"424,000","6,392,000","2,906,000","2,379,000","1,756,000","2,413,000","1,756,000","762,000","1,445,000","3,785,000","3,591,000","2,346,000","1,790,000","3,371,000","534,000","1,290,000","77,000","443,000","3,136,000","362,000","10,252,000","2,535,000","648,000","5,683,000","2,003,000","774,000","8,643,000","603,000","1,687,000","606,000","2,305,000","4,631,000","446,000","352,000","2,318,000","1,333,000","1,464,000","2,600,000","191,000","445,000
"
1920,"2,359,000",n/a,"340,000","1,756,000","3,554,000","937,000","1,391,000","219,000","962,000","2,926,000",n/a,"433,000","6,663,000","2,947,000","2,400,000","1,769,000","2,421,000","1,813,000","771,000","1,464,000","3,882,000","3,723,000","2,403,000","1,800,000","3,404,000","543,000","1,300,000","78,000","444,000","3,198,000","363,000","10,282,000","2,588,000","646,000","5,799,000","2,055,000","788,000","8,740,000","613,000","1,685,000","640,000","2,329,000","4,723,000","453,000","353,000","2,347,000","1,373,000","1,470,000","2,679,000","197,000","440,000
"
1921,"2,402,000",n/a,"351,000","1,769,000","3,795,000","961,000","1,415,000","216,000","997,000","2,965,000",n/a,"435,000","6,858,000","2,976,000","2,407,000","1,779,000","2,436,000","1,847,000","775,000","1,492,000","3,951,000","3,872,000","2,434,000","1,823,000","3,429,000","546,000","1,309,000","80,000","449,000","3,297,000","370,000","10,416,000","2,651,000","646,000","5,921,000","2,108,000","798,000","8,900,000","629,000","1,693,000","652,000","2,369,000","4,853,000","457,000","355,000","2,395,000","1,405,000","1,485,000","2,722,000","203,000","446,000
"
1922,"2,434,000",n/a,"360,000","1,772,000","3,991,000","965,000","1,431,000","214,000","1,044,000","2,965,000",n/a,"436,000","6,958,000","2,965,000","2,428,000","1,799,000","2,450,000","1,871,000","778,000","1,509,000","4,010,000","3,942,000","2,451,000","1,836,000","3,437,000","543,000","1,312,000","81,000","451,000","3,380,000","375,000","10,589,000","2,700,000","647,000","6,054,000","2,140,000","814,000","8,982,000","644,000","1,692,000","660,000","2,424,000","4,955,000","467,000","354,000","2,412,000","1,415,000","1,498,000","2,761,000","208,000","450,000
"
1923,"2,464,000",n/a,"371,000","1,784,000","4,270,000","984,000","1,455,000","215,000","1,097,000","2,954,000",n/a,"436,000","7,068,000","3,042,000","2,425,000","1,808,000","2,480,000","1,903,000","781,000","1,521,000","4,057,000","4,063,000","2,487,000","1,858,000","3,454,000","538,000","1,321,000","82,000","453,000","3,472,000","382,000","10,752,000","2,761,000","648,000","6,183,000","2,159,000","833,000","9,148,000","656,000","1,699,000","669,000","2,463,000","5,077,000","474,000","354,000","2,423,000","1,433,000","1,526,000","2,803,000","211,000","453,000
"
1924,"2,501,000",n/a,"382,000","1,800,000","4,541,000","1,014,000","1,481,000","219,000","1,160,000","2,920,000",n/a,"434,000","7,215,000","3,086,000","2,420,000","1,807,000","2,531,000","1,939,000","788,000","1,537,000","4,102,000","4,214,000","2,521,000","1,886,000","3,508,000","538,000","1,333,000","84,000","457,000","3,573,000","390,000","10,953,000","2,830,000","642,000","6,319,000","2,179,000","856,000","9,383,000","669,000","1,710,000","673,000","2,502,000","5,210,000","481,000","355,000","2,426,000","1,467,000","1,577,000","2,833,000","215,000","456,000
"
1925,"2,534,000",n/a,"393,000","1,812,000","4,730,000","1,019,000","1,506,000","222,000","1,264,000","2,883,000",n/a,"436,000","7,306,000","3,119,000","2,427,000","1,825,000","2,520,000","1,972,000","792,000","1,556,000","4,154,000","4,331,000","2,540,000","1,910,000","3,526,000","535,000","1,343,000","85,000","459,000","3,664,000","396,000","11,186,000","2,895,000","643,000","6,434,000","2,216,000","883,000","9,478,000","680,000","1,718,000","682,000","2,531,000","5,332,000","487,000","355,000","2,423,000","1,494,000","1,593,000","2,863,000","216,000","461,000
"
1926,"2,567,000",n/a,"403,000","1,826,000","4,929,000","1,016,000","1,531,000","225,000","1,368,000","2,869,000",n/a,"441,000","7,395,000","3,148,000","2,432,000","1,836,000","2,545,000","2,005,000","793,000","1,576,000","4,194,000","4,451,000","2,560,000","1,935,000","3,556,000","531,000","1,353,000","87,000","463,000","3,758,000","403,000","11,257,000","2,959,000","651,000","6,504,000","2,256,000","905,000","9,594,000","681,000","1,726,000","683,000","2,553,000","5,453,000","494,000","356,000","2,419,000","1,516,000","1,623,000","2,892,000","217,000","469,000
"
1927,"2,609,000",n/a,"414,000","1,840,000","5,147,000","1,028,000","1,557,000","229,000","1,418,000","2,891,000",n/a,"447,000","7,519,000","3,191,000","2,441,000","1,836,000","2,551,000","2,039,000","796,000","1,599,000","4,223,000","4,589,000","2,588,000","1,962,000","3,576,000","527,000","1,365,000","88,000","466,000","3,891,000","410,000","11,174,000","3,027,000","657,000","6,577,000","2,306,000","925,000","9,745,000","677,000","1,736,000","682,000","2,608,000","5,577,000","500,000","357,000","2,433,000","1,538,000","1,671,000","2,916,000","219,000","476,000
"
1928,"2,640,000",n/a,"422,000","1,847,000","5,344,000","1,014,000","1,577,000","233,000","1,433,000","2,903,000",n/a,"449,000","7,576,000","3,212,000","2,450,000","1,850,000","2,567,000","2,064,000","797,000","1,610,000","4,217,000","4,665,000","2,592,000","1,981,000","3,601,000","541,000","1,371,000","89,000","468,000","3,968,000","416,000","11,599,000","3,082,000","665,000","6,608,000","2,344,000","936,000","9,802,000","678,000","1,739,000","685,000","2,624,000","5,675,000","504,000","358,000","2,435,000","1,551,000","1,696,000","2,923,000","220,000","479,000
"
1929,"2,644,000",n/a,"430,000","1,852,000","5,531,000","1,008,000","1,594,000","236,000","1,445,000","2,903,000",n/a,"447,000","7,606,000","3,226,000","2,460,000","1,867,000","2,606,000","2,086,000","797,000","1,621,000","4,229,000","4,795,000","2,572,000","1,998,000","3,622,000","524,000","1,375,000","90,000","467,000","3,989,000","420,000","12,171,000","3,133,000","674,000","6,626,000","2,372,000","947,000","9,723,000","684,000","1,739,000","690,000","2,604,000","5,762,000","508,000","359,000","2,425,000","1,555,000","1,717,000","2,934,000","223,000","483,000
"
1930,"2,647,000",n/a,"434,000","1,859,000","5,711,000","1,040,000","1,613,000","239,000","1,471,000","2,910,000",n/a,"447,000","7,644,000","3,242,000","2,475,000","1,883,000","2,623,000","2,105,000","800,000","1,636,000","4,250,000","4,834,000","2,576,000","2,006,000","3,646,000","539,000","1,380,000","92,000","466,000","4,068,000","427,000","12,647,000","3,167,000","682,000","6,662,000","2,401,000","956,000","9,649,000","686,000","1,745,000","693,000","2,619,000","5,844,000","509,000","360,000","2,427,000","1,568,000","1,733,000","2,950,000","226,000","488,000
"
1931,"2,649,000",n/a,"429,000","1,848,000","5,824,000","1,056,000","1,628,000","242,000","1,493,000","2,924,000",n/a,"454,000","7,687,000","3,257,000","2,482,000","1,881,000","2,652,000","2,124,000","807,000","1,657,000","4,248,000","4,798,000","2,614,000","1,994,000","3,711,000","540,000","1,384,000","94,000","470,000","4,120,000","436,000","12,848,000","3,184,000","680,000","6,694,000","2,403,000","966,000","9,707,000","681,000","1,753,000","694,000","2,657,000","5,907,000","513,000","359,000","2,445,000","1,581,000","1,740,000","2,990,000","229,000","504,000
"
1932,"2,653,000",n/a,"426,000","1,836,000","5,894,000","1,066,000","1,637,000","245,000","1,521,000","2,935,000",n/a,"459,000","7,736,000","3,281,000","2,489,000","1,883,000","2,676,000","2,155,000","815,000","1,678,000","4,259,000","4,780,000","2,646,000","2,004,000","3,746,000","540,000","1,386,000","96,000","474,000","4,120,000","441,000","13,001,000","3,227,000","676,000","6,717,000","2,394,000","972,000","9,764,000","677,000","1,748,000","692,000","2,711,000","5,961,000","517,000","358,000","2,452,000","1,584,000","1,747,000","3,021,000","230,000","513,000
"
1933,"2,661,000",n/a,"426,000","1,854,000","5,963,000","1,071,000","1,642,000","248,000","1,552,000","2,950,000",n/a,"464,000","7,768,000","3,304,000","2,495,000","1,877,000","2,698,000","2,178,000","821,000","1,694,000","4,282,000","4,780,000","2,673,000","2,031,000","3,773,000","541,000","1,385,000","96,000","477,000","4,107,000","449,000","13,126,000","3,268,000","674,000","6,740,000","2,392,000","978,000","9,784,000","675,000","1,752,000","690,000","2,747,000","6,014,000","520,000","357,000","2,460,000","1,592,000","1,752,000","3,040,000","230,000","529,000
"
1934,"2,685,000",n/a,"428,000","1,878,000","6,060,000","1,075,000","1,650,000","250,000","1,585,000","2,964,000",n/a,"473,000","7,772,000","3,319,000","2,510,000","1,868,000","2,722,000","2,202,000","829,000","1,710,000","4,305,000","4,798,000","2,695,000","2,050,000","3,784,000","545,000","1,382,000","98,000","480,000","4,089,000","461,000","13,253,000","3,304,000","672,000","6,751,000","2,391,000","985,000","9,795,000","675,000","1,760,000","682,000","2,784,000","6,053,000","522,000","357,000","2,485,000","1,610,000","1,771,000","3,054,000","233,000","568,000
"
1935,"2,719,000",n/a,"434,000","1,890,000","6,175,000","1,078,000","1,666,000","252,000","1,613,000","2,955,000",n/a,"481,000","7,797,000","3,332,000","2,524,000","1,872,000","2,748,000","2,228,000","836,000","1,729,000","4,343,000","4,838,000","2,717,000","2,061,000","3,798,000","550,000","1,375,000","100,000","481,000","4,085,000","475,000","13,375,000","3,323,000","670,000","6,787,000","2,386,000","1,001,000","9,774,000","678,000","1,769,000","674,000","2,798,000","6,123,000","526,000","357,000","2,520,000","1,629,000","1,794,000","3,070,000","237,000","608,000
"
1936,"2,743,000",n/a,"443,000","1,892,000","6,341,000","1,090,000","1,672,000","253,000","1,651,000","2,978,000",n/a,"495,000","7,840,000","3,348,000","2,509,000","1,869,000","2,768,000","2,246,000","840,000","1,745,000","4,355,000","4,889,000","2,734,000","2,072,000","3,801,000","554,000","1,358,000","101,000","481,000","4,084,000","489,000","13,481,000","3,346,000","664,000","6,801,000","2,365,000","1,025,000","9,767,000","686,000","1,781,000","666,000","2,791,000","6,192,000","527,000","357,000","2,552,000","1,653,000","1,808,000","3,082,000","240,000","629,000
"
